GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ms-courses,co.edu.uniremington.mscourses.controller,CourseController,0,41,0,0,0,13,0,8,0,8
ms-courses,co.edu.uniremington.mscourses,MsCoursesApplication,5,3,0,0,2,1,1,1,1,1
ms-courses,co.edu.uniremington.mscourses.model,Course,4,42,0,0,2,18,1,9,1,9
ms-courses,co.edu.uniremington.mscourses.exception,GlobalExceptionHandler,0,19,0,0,0,5,0,3,0,3
ms-courses,co.edu.uniremington.mscourses.exception,NoAvailableQuotasException,0,5,0,0,0,2,0,1,0,1
ms-courses,co.edu.uniremington.mscourses.exception,NoSlotsAvailableException,0,5,0,0,0,2,0,1,0,1
ms-courses,co.edu.uniremington.mscourses.exception,CourseNotFoundException,0,5,0,0,0,2,0,1,0,1
ms-courses,co.edu.uniremington.mscourses.service,CourseService,0,148,0,4,0,29,0,15,0,13
ms-courses,co.edu.uniremington.mscourses.dto,CourseDto,15,21,0,0,4,8,4,4,4,4
